job_name                                                    ;walltime  ;nnode_fc  ;ntask_fc  ;nopmp_fc  ;nnode_io  ;ntask_io  ;nopmp_io  ;
L3_FCST_HYD_EUL_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_HYD_EUL_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL3_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL3_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL3_VFE_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL3_VFE_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL3_VFD_ADIAB_SLHD_PGAL                         ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL3_VFD_ADIAB_SLHD_PGAL                         ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL2_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL2_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL2_VFE_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL2_VFE_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL2_CVFE_ADIAB_PGAL                             ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_HYD_SL2_VFD_ADIAB_SLHD_PGAL                         ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_HYD_SL2_VFD_ADIAB_SLHD_PGAL                         ;        10;         2;        16;         8;         0;         0;         0;
L3_C501_HYD_EUL_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_C501_HYD_SL2_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_C501_HYD_SL2_VFE_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_C401_HYD_EUL_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_C401_HYD_SL2_VFD_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_C401_HYD_SL2_VFE_ADIAB_PGAL                              ;        10;         2;        16;         8;         0;         0;         0;
L3_C601_HYD_EUL_VFD_VSIPHY_PGAL                             ;        10;         2;        16;         8;         0;         0;         0;
L3_C601_HYD_SL2_VFD_VSIPHY_PGAL                             ;        10;         2;        16;         8;         0;         0;         0;
L3_C601_HYD_SL2_VFE_VSIPHY_PGAL                             ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_NHE_EUL_VFD_ADIAB_FROC                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHE_EUL_VFD_ADIAB_FROC                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_NHQ_EUL_VFD_ADIAB_FROC                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHQ_EUL_VFD_ADIAB_FROC                              ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL3_VFD_ADIAB_RDBBC2_FROC                       ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHE_SL3_VFD_ADIAB_RDBBC2_FROC                       ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_NHQ_SL3_VFD_ADIAB_RDBBC2_FROC                       ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHQ_SL3_VFD_ADIAB_RDBBC2_FROC                       ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_ADIAB_RDBBC2_PCC_FROC                   ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHE_SL2_VFD_ADIAB_RDBBC2_PCC_FROC                   ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_ADIAB_RDBBC2_PCF_FROC                   ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHE_SL2_VFD_ADIAB_RDBBC2_PCF_FROC                   ;        10;         2;        16;         8;         0;         0;         0;
L3_FCST_NHE_SL2_VFD_ADIAB_GWADV2_PCC_FROC                   ;        10;         2;        16;         8;         0;         0;         0;
L3_FCTI_NHE_SL2_VFD_ADIAB_GWADV2_PCC_FROC                   ;        10;         2;        16;         8;         0;         0;         0;
